ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
24,Pertambangan Minyak dan Gas,1582.811452,0,0,0,0,275.905082,599.9321446,0,696.5394355,0,0,0,0,0,0,0.060673838,0.557886214,0,0,9.81622964,0,0,0,0,0,0,0
25,Pertambangan batu bara,261.7193146,150.7696198,0.01800719,0,0,0.549961362,1.195844227,0,21.46680847,1.043951669,0,0.288179863,86.15203358,0,0,0.000120941,0.001112034,0,0,0.233675519,0,0,0,0,0,0,0
26,Pertambangan Bijih Logam,213.0588819,122.7376232,0.014659185,0,0,0.447709231,0.97350566,0,17.47557003,0.849853881,0,0.234599726,70.13412815,0,0,9.8455E-05,0.000905278,0,0,0.190229158,0,0,0,0,0,0,0
27,Pertambangan lainnya,76.51902697,44.08060069,0.005264772,0,0,0.160792521,0.349629666,0,6.276263173,0.305220751,0,0.084255313,25.18831975,0,0,3.53596E-05,0.000325126,0,0,0.068319846,0,0,0,0,0,0,0
28,Penggalian,355.0814686,204.5531033,0.024430827,0,0,0.746147026,1.622433274,0,29.12458291,1.41635665,0,0.39098119,116.8847269,0,0,0.000164084,0.001508726,0,0,0.317033715,0,0,0,0,0,0,0
29,Industri Pengilangan Minyak dan Gas,4918.889002,3.070239686,0,0,4757.032512,0.235825667,0.512782864,0,2.476555926,62.07989588,0,34.78815431,58.69250761,0,0,5.186E-05,0.000476845,0,0,0,0,0,0,0,0,0,0
30,Ind makanan,58.7828917,6.398441269,0.004262093,0,0,0.335812115,0.730194895,0,4.214148018,0.493928282,0,1.333694727,6.722209737,0,0,7.38479E-05,0.00067902,0,36.3689025,2.180545198,0,0,0,0,0,0,0
31,Ind minyak makan,612.5873106,66.67933161,0.04441605,0,0,3.499559725,7.609495105,0,43.91641047,5.147317344,0,13.8986777,70.05338227,0,0,0.000769582,0.007076188,0,379.0070125,22.72386199,0,0,0,0,0,0,0
32,"Ind penggilingan beras, bj2an & tepung",1831.257714,199.3300192,0.132776557,0,0,10.46152219,22.7476906,0,131.2829438,15.38729978,0,41.54846224,209.4163468,0,0,0.002300576,0.021153431,0,1132.996886,67.93031269,0,0,0,0,0,0,0
33,Ind minuman,15.45167369,1.681894574,0.001120334,0,0,0.088271588,0.191939065,0,1.107731147,0.129834012,0,0.350575059,1.767000369,0,0,1.94117E-05,0.000178487,0,9.559931431,0.573178214,0,0,0,0,0,0,0
34,"Industri Tekstil, pakaian jadi dan kulit",13.49379729,3.102217231,0.002066431,0,0,0.137414222,0.298795544,0,2.54214457,0.158700342,0,0.06520505,5.252440149,0,0,3.02185E-05,0.000277855,0,0.230723207,1.703782475,0,0,0,0,0,0,0
35,Ind penggergajian kayu & bh bgn dr ky,5.276457583,0.00563214,0.00113897,0,0,0.197192274,0.428777837,0,0.424981671,0.019308354,0,0.062603336,2.419499414,0,0,4.33642E-05,0.000398727,0,0.932046144,0.78483535,0,0,0,0,0,0,0
36,Ind percetk & penerbitan,122.0312058,30.85757783,0.020909651,0,0,0.752854897,1.637018969,0,9.809734535,0.445689406,0,1.445055518,56.89708788,0,0,0.000165559,0.001522289,0,1.707355899,18.45623338,0,0,0,0,0,0,0
37,Ind pupuk urea dan kimia dasar,1443.936694,84.3673033,0.056198259,0,0,1.163142155,2.529153732,0,70.09300509,26.35595923,369.395314,17.50611352,654.6447572,0,0,0.000255785,0.002351899,0,184.8886426,32.93449666,0,0,0,0,0,0,0
38,Ind semen,339.2659615,184.5803894,1.204367795,0,0,1.229874194,2.674256878,0,35.81901212,11.49482644,0,7.537032702,71.46346738,0,0,0.00027046,0.002486833,0,0.07871295,23.18126431,0,0,0,0,0,0,0
39,"Ind br2 galian bh bgn, kpr & br ln dr bk lgm",153.9977056,83.78369686,0.546679886,0,0,0.558257608,1.213883708,0,16.25876542,5.217667256,0,3.421167682,32.43829697,0,0,0.000122766,0.001128809,0,0.035728941,10.5223097,0,0,0,0,0,0,0
40,"Ind brg2 dr logam, mesin & perlengkapan",135.0075169,65.30388261,0.037687575,0,0,0.5662149,1.231186162,0,10.80000277,13.13595079,0,3.125863051,30.81074854,0,0,0.000124515,0.001144899,0,0.000344304,9.994366796,0,0,0,0,0,0,0
41,"Ind perabot RT dr kayu, bambu, rotan",237.5534874,0.253566815,0.051278016,0,0,8.877871518,19.30417686,0,19.13326819,0.869289062,0,2.818489602,108.9292417,0,0,0.001952318,0.017951254,0,41.96201875,35.33438324,0,0,0,0,0,0,0
