ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
60,Jasa penunjang Angkutan,2419.867535,0,0,0,0,2245.870365,0,0,7.931945673,1.835996657,0,4.876991182,5.288796219,0,0,0,4.541199841,0,0,149.52224,0,0,0,0,0,0,0
61,Komunikasi,26.58821427,0,0,0,0,18.0087078,0,0,0.842375868,0.194983594,0,0.517938454,0.238723429,0,0,0,0.036414008,0,0,6.749071121,0,0,0,0,0,0,0
62,Bank,42.53832976,0,0,0,0,7.031979573,15.29044175,0,3.646097487,0.843957217,0,2.241818846,0.46011456,0,0,0.001546391,0.014218819,0,2.30E-05,13.00813206,0,0,0,0,0,0,0
63,Asuransi,6.581190054,0,0,0,0,1.08793162,2.365614818,0,0.564095033,0.130570309,0,0.346836276,0.071185244,0,0,0.000239245,0.002199822,0,3.57E-06,2.012514122,0,0,0,0,0,0,0
64,Lembaga Keuangan,16.74387543,0,0,0,0,2.767917562,6.018601424,0,1.435171585,0.332197211,0,0.882421471,0.181109623,0,0,0.000608688,0.005596791,0,9.07E-06,5.120242006,0,0,0,0,0,0,0
65,Jasa persewaan,0.28650255,0,0,0,0,0.008077724,0.017564323,0,0.045479223,0.010527014,0,0.027963097,0.006030849,0,0,1.78E-06,1.63E-05,0,0.000341011,0.170501199,0,0,0,0,0,0,0
66,Jasa perusahaan,67.95747808,0,0,0,0,4.133678306,8.98833205,0,14.01350342,3.243686542,0,8.616263327,0.988933239,0,0,0.00090903,0.008358389,0,0.005180664,27.95863311,0,0,0,0,0,0,0
67,Pemerintahan Umum dan pertahanan,189.7522271,0,0,0,0,25.67981673,55.83857829,0,28.43284894,6.581312802,0,17.48206043,1.876566592,0,0,0.005647207,0.051925161,0,0.750105153,53.05336579,0,0,0,0,0,0,0
68,Jasa Sosial Kemasyarakatan,118.4908026,0,0,0,0,25.56437772,55.58756599,0,4.654622704,1.077399175,0,2.861914948,0.813566564,0,0,0.005621821,0.05169174,0,4.87328899,23.00075291,0,0,0,0,0,0,0
69,Jasa lainnya,57.14994046,0,0,0,0,8.584724547,18.66675369,0,2.225961304,0.51524023,0,1.368641958,0.870993113,0,0,0.001887853,0.017358504,0,0.274091251,24.624288,0,0,0,0,0,0,0
70,Kegiatan yang tidak jelas batasannya,0.884035129,0,0,0,0,0.132794505,0.288750362,0,0.034432722,0.007970095,0,0.021171108,0.013473129,0,0,2.92E-05,0.000268513,0,0.004239835,0.380905657,0,0,0,0,0,0,0
