ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
86,perlengkapan listrik lainnya,233.2485841,0,0,0,0,40.65832962,88.40808117,0,102.6444666,0,0,0,0,0,0,0.008941107,0.082212047,0,0,1.446553639,0,0,0,0,0,0,0
87,alat listrik untuk rumah tangga,182.3364566,0,0,0,0,31.78366884,69.11088579,0,80.23983681,0,0,0,0,0,0,0.006989495,0.064267285,0,0,1.130808428,0,0,0,0,0,0,0
88,mesin pembangkit dan motor listrik,16.10016543,0,0,0,0,2.806472911,6.102436751,0,7.085114355,0,0,0,0,0,0,0.000617167,0.005674751,0,0,0.099849493,0,0,0,0,0,0,0
89,mesin listrik dan perlengkapannya,226.011958,0,0,0,0,39.39688946,85.66518679,0,99.45988291,0,0,0,0,0,0,0.008663706,0.079661387,0,0,1.401673761,0,0,0,0,0,0,0
90,kendaraan bermotor kecuali sepeda motor,4866.264182,0,0,0,0,848.2545514,1844.457407,0,2141.471053,0,0,0,0,0,0,0.186538279,1.715189573,0,0,30.17944218,0,0,0,0,0,0,0
91,kapal dan jasa perbaikannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,barang - barang industri lainnya,108095.872,0,0,0,0,18842.5478,40971.51828,0,47569.17674,0,0,0,0,0,0,4.143634047,38.10005082,0,0,670.3855357,0,0,0,0,0,0,0
93,listrik dan gas,1482320.263,0,0,0,0,258388.1317,561843.0253,0,652316.8116,0,0,0,0,0,0,56.82171387,522.4665503,0,0,9193.006589,0,0,0,0,0,0,0
94,air bersih,166591.6168,0,0,0,0,29039.1339,63143.12789,0,73311.08869,0,0,0,0,0,0,6.385948715,58.71777475,0,0,1033.162582,0,0,0,0,0,0,0
95,bangunan,38128959.4,0,0,0,0,6646384.607,14451998.28,0,16779208.81,0,0,0,0,0,0,1461.595631,13439.13753,0,0,236466.9658,0,0,0,0,0,0,0
96,jasa perdagangan,3985512.016,0,0,0,0,694727.7379,1510626.404,0,1753883.122,0,0,0,0,0,0,152.7764472,1404.754941,0,0,24717.22146,0,0,0,0,0,0,0
97,jasa restoran,70105.39427,0,0,0,0,12220.30238,26572.00861,0,30850.9088,0,0,0,0,0,0,2.687346825,24.70972327,0,0,434.7774009,0,0,0,0,0,0,0
98,jasa perhotelan,78079.66597,0,0,0,0,13610.32397,29594.49238,0,34360.10423,0,0,0,0,0,0,2.993024212,27.52037784,0,0,484.2319851,0,0,0,0,0,0,0
99,jasa angkutan darat,53671290.89,0,0,0,0,9355619.644,20342999.54,0,23618840.14,0,0,0,0,0,0,2057.379103,18917.27105,0,0,332856.9021,0,0,0,0,0,0,0
100,jasa angkutan laut,19908740.05,0,0,0,0,3470358.108,7545998.672,0,8761133.577,0,0,0,0,0,0,763.1608084,7017.141296,0,0,123469.3898,0,0,0,0,0,0,0
101,jasa angkutan udara,7162698.039,0,0,0,0,1248553.507,2714873.455,0,3152050.513,0,0,0,0,0,0,274.5673715,2524.602967,0,0,44421.39252,0,0,0,0,0,0,0
102,jasa penunjang angkutan,7211561.352,0,0,0,0,1257071.033,2733394.09,0,3173553.532,0,0,0,0,0,0,276.4404466,2541.825593,0,0,44724.43146,0,0,0,0,0,0,0
103,jasa komunikasi,63930.68184,0,0,0,0,11143.9679,24231.61079,0,28133.63587,0,0,0,0,0,0,2.45065186,22.53335101,0,0,396.4832661,0,0,0,0,0,0,0
104,bank,252100.6756,0,0,0,0,43944.49983,95553.57892,0,110940.6064,0,0,0,0,0,0,9.663763499,88.85675624,0,0,1563.469939,0,0,0,0,0,0,0
105,lembaga keuangan lainnya,24353.53465,0,0,0,0,4245.144907,9230.706698,0,10717.13075,0,0,0,0,0,0,0.933542914,8.58377744,0,0,151.0349754,0,0,0,0,0,0,0
106,sewa bangunan dan sewa tanah,3661.223385,0,0,0,0,638.1999176,1387.711464,0,1611.175145,0,0,0,0,0,0,0.140345506,1.290454431,0,0,22.70605856,0,0,0,0,0,0,0
107,jasa perusahaan,52091.50867,0,0,0,0,9080.242599,19744.21557,0,22923.63377,0,0,0,0,0,0,1.996821385,18.36045253,0,0,323.0594591,0,0,0,0,0,0,0
108,jasa pemerintahan umum,1763916.343,0,0,0,0,307474.0726,668576.2308,0,776237.3039,0,0,0,0,0,0,67.61612332,621.7194149,0,0,10939.40019,0,0,0,0,0,0,0
109,Jasa Sosial Kemasyarakatan,55709.5755,0,0,0,0,9710.919754,21115.56943,0,24515.81724,0,0,0,0,0,0,2.135512572,19.63569577,0,0,345.4978706,0,0,0,0,0,0,0
110,"jasa hiburan, rekreasi, dan kebudayaan",54858.29506,0,0,0,0,9562.530256,20792.90908,0,24141.19877,0,0,0,0,0,0,2.102880479,19.33564891,0,0,340.2184268,0,0,0,0,0,0,0
111,jasa perorangan dan rumah tangga,258992.7435,0,0,0,0,45145.87891,98165.87559,0,113973.5622,0,0,0,0,0,0,9.927956819,91.28597146,0,0,1606.212946,0,0,0,0,0,0,0
112,Barang dan jasa yang tidak masuk dimanapun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
